任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
math,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:8b,220.80086568458077,791.2611164692164,0.0,0.007936507936507936,0.4365079365079365,否
math,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,245.0031303935766,635.9631941335201,0.0,0.007936507936507936,0.4365079365079365,否
math,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:8bit,245.0031303935766,1004.9392396960259,0.0,0.007936507936507936,0.4365079365079365,否
math,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,245.0031303935766,1271.5747205120801,0.0,0.007936507936507936,0.4365079365079365,否
math,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:4b,245.0031303935766,428.1854501842498,4.0,0.09523809523809523,1.0,否
math,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:8b,245.0031303935766,791.2611164692164,0.0,0.007936507936507936,0.4365079365079365,否
math,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,635.9631941335201,1004.9392396960259,2.0,0.031746031746031744,1.0,否
math,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,635.9631941335201,1271.5747205120801,0.0,0.007936507936507936,0.4365079365079365,否
math,qwen--qwen2.5-3b-instruct:4bit,qwen3:4b,635.9631941335201,428.1854501842498,21.0,0.09523809523809523,1.0,否
math,qwen--qwen2.5-3b-instruct:4bit,qwen3:8b,635.9631941335201,791.2611164692164,7.0,0.30952380952380953,1.0,否
math,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,1004.9392396960259,1271.5747205120801,5.0,0.15079365079365079,1.0,否
math,qwen--qwen2.5-3b-instruct:8bit,qwen3:4b,1004.9392396960259,428.1854501842498,25.0,0.007936507936507936,0.4365079365079365,否
math,qwen--qwen2.5-3b-instruct:8bit,qwen3:8b,1004.9392396960259,791.2611164692164,20.0,0.15079365079365079,1.0,否
math,qwen--qwen2.5-7b-instruct:4bit,qwen3:4b,1271.5747205120801,428.1854501842498,25.0,0.007936507936507936,0.4365079365079365,否
math,qwen--qwen2.5-7b-instruct:4bit,qwen3:8b,1271.5747205120801,791.2611164692164,23.0,0.031746031746031744,1.0,否
math,qwen3:4b,qwen3:8b,428.1854501842498,791.2611164692164,2.0,0.031746031746031744,1.0,否
