任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
summary,gemma3:4b,qwen--qwen2.5-7b-instruct:4bit,71.78077997944355,700.0343429092646,0.0,0.007936507936507936,0.4365079365079365,否
summary,gemma3:4b,qwen3:4b,71.78077997944355,233.63843381175994,0.0,0.007936507936507936,0.4365079365079365,否
summary,gemma3:4b,qwen3:8b,71.78077997944355,434.10877193374637,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:4bit,google--gemma-2b-it:8bit,31.41483060662747,46.542533881187445,16.0,0.5476190476190477,1.0,否
summary,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:4bit,31.41483060662747,383.6018713267326,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:4bit,microsoft--phi-3-mini-4k-instruct:8bit,31.41483060662747,452.40425519340045,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:4bit,31.41483060662747,365.77986983144285,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:8bit,31.41483060662747,571.1294137212515,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:4bit,qwen--qwen2.5-7b-instruct:4bit,31.41483060662747,700.0343429092646,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:4bit,qwen3:4b,31.41483060662747,233.63843381175994,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:4bit,qwen3:8b,31.41483060662747,434.10877193374637,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,46.542533881187445,383.6018713267326,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:8bit,46.542533881187445,452.40425519340045,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:4bit,46.542533881187445,365.77986983144285,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:8bit,46.542533881187445,571.1294137212515,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:8bit,qwen--qwen2.5-7b-instruct:4bit,46.542533881187445,700.0343429092646,0.0,0.007936507936507936,0.4365079365079365,否
summary,google--gemma-2b-it:8bit,qwen3:4b,46.542533881187445,233.63843381175994,1.0,0.015873015873015872,0.873015873015873,否
summary,google--gemma-2b-it:8bit,qwen3:8b,46.542533881187445,434.10877193374637,0.0,0.007936507936507936,0.4365079365079365,否
summary,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,383.6018713267326,452.40425519340045,9.0,0.5476190476190477,1.0,否
summary,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:4bit,383.6018713267326,365.77986983144285,14.0,0.8412698412698413,1.0,否
summary,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,383.6018713267326,571.1294137212515,0.0,0.007936507936507936,0.4365079365079365,否
summary,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,383.6018713267326,700.0343429092646,0.0,0.007936507936507936,0.4365079365079365,否
summary,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:4b,383.6018713267326,233.63843381175994,21.0,0.09523809523809523,1.0,否
summary,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:8b,383.6018713267326,434.10877193374637,11.0,0.8412698412698413,1.0,否
summary,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,452.40425519340045,365.77986983144285,20.0,0.15079365079365079,1.0,否
summary,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:8bit,452.40425519340045,571.1294137212515,4.0,0.09523809523809523,1.0,否
summary,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,452.40425519340045,700.0343429092646,1.0,0.015873015873015872,0.873015873015873,否
summary,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:4b,452.40425519340045,233.63843381175994,21.0,0.09523809523809523,1.0,否
summary,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:8b,452.40425519340045,434.10877193374637,14.0,0.8412698412698413,1.0,否
summary,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,365.77986983144285,571.1294137212515,0.0,0.007936507936507936,0.4365079365079365,否
summary,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,365.77986983144285,700.0343429092646,0.0,0.007936507936507936,0.4365079365079365,否
summary,qwen--qwen2.5-3b-instruct:4bit,qwen3:4b,365.77986983144285,233.63843381175994,25.0,0.007936507936507936,0.4365079365079365,否
summary,qwen--qwen2.5-3b-instruct:4bit,qwen3:8b,365.77986983144285,434.10877193374637,6.0,0.2222222222222222,1.0,否
summary,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,571.1294137212515,700.0343429092646,6.0,0.2222222222222222,1.0,否
summary,qwen--qwen2.5-3b-instruct:8bit,qwen3:4b,571.1294137212515,233.63843381175994,25.0,0.007936507936507936,0.4365079365079365,否
summary,qwen--qwen2.5-3b-instruct:8bit,qwen3:8b,571.1294137212515,434.10877193374637,25.0,0.007936507936507936,0.4365079365079365,否
summary,qwen--qwen2.5-7b-instruct:4bit,qwen3:4b,700.0343429092646,233.63843381175994,25.0,0.007936507936507936,0.4365079365079365,否
summary,qwen--qwen2.5-7b-instruct:4bit,qwen3:8b,700.0343429092646,434.10877193374637,25.0,0.007936507936507936,0.4365079365079365,否
summary,qwen3:4b,qwen3:8b,233.63843381175994,434.10877193374637,0.0,0.007936507936507936,0.4365079365079365,否
