任务,模型1,模型2,模型1均值,模型2均值,U统计量,p值,p值(校正),是否显著
translation,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:4bit,170.5762600324869,436.90222290723324,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:4bit,qwen--qwen2.5-3b-instruct:8bit,170.5762600324869,694.5230122847081,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:4bit,qwen--qwen2.5-7b-instruct:4bit,170.5762600324869,886.3113660883904,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:4bit,qwen3:4b,170.5762600324869,297.5647201788187,3.0,0.05555555555555555,1.0,否
translation,google--gemma-2b-it:4bit,qwen3:8b,170.5762600324869,532.2190720459937,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:4bit,299.7631403900624,468.534309852004,1.0,0.015873015873015872,0.873015873015873,否
translation,google--gemma-2b-it:8bit,microsoft--phi-3-mini-4k-instruct:8bit,299.7631403900624,593.1137879688024,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:4bit,299.7631403900624,436.90222290723324,5.0,0.15079365079365079,1.0,否
translation,google--gemma-2b-it:8bit,qwen--qwen2.5-3b-instruct:8bit,299.7631403900624,694.5230122847081,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:8bit,qwen--qwen2.5-7b-instruct:4bit,299.7631403900624,886.3113660883904,0.0,0.007936507936507936,0.4365079365079365,否
translation,google--gemma-2b-it:8bit,qwen3:4b,299.7631403900624,297.5647201788187,12.0,1.0,1.0,否
translation,google--gemma-2b-it:8bit,qwen3:8b,299.7631403900624,532.2190720459937,1.0,0.015873015873015872,0.873015873015873,否
translation,microsoft--phi-3-mini-4k-instruct:4bit,microsoft--phi-3-mini-4k-instruct:8bit,468.534309852004,593.1137879688024,1.0,0.015873015873015872,0.873015873015873,否
translation,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:4bit,468.534309852004,436.90222290723324,21.0,0.09523809523809523,1.0,否
translation,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,468.534309852004,694.5230122847081,0.0,0.007936507936507936,0.4365079365079365,否
translation,microsoft--phi-3-mini-4k-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,468.534309852004,886.3113660883904,0.0,0.007936507936507936,0.4365079365079365,否
translation,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:4b,468.534309852004,297.5647201788187,25.0,0.007936507936507936,0.4365079365079365,否
translation,microsoft--phi-3-mini-4k-instruct:4bit,qwen3:8b,468.534309852004,532.2190720459937,4.0,0.09523809523809523,1.0,否
translation,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:4bit,593.1137879688024,436.90222290723324,25.0,0.007936507936507936,0.4365079365079365,否
translation,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-3b-instruct:8bit,593.1137879688024,694.5230122847081,4.0,0.09523809523809523,1.0,否
translation,microsoft--phi-3-mini-4k-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,593.1137879688024,886.3113660883904,0.0,0.007936507936507936,0.4365079365079365,否
translation,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:4b,593.1137879688024,297.5647201788187,25.0,0.007936507936507936,0.4365079365079365,否
translation,microsoft--phi-3-mini-4k-instruct:8bit,qwen3:8b,593.1137879688024,532.2190720459937,21.0,0.09523809523809523,1.0,否
translation,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-3b-instruct:8bit,436.90222290723324,694.5230122847081,0.0,0.007936507936507936,0.4365079365079365,否
translation,qwen--qwen2.5-3b-instruct:4bit,qwen--qwen2.5-7b-instruct:4bit,436.90222290723324,886.3113660883904,0.0,0.007936507936507936,0.4365079365079365,否
translation,qwen--qwen2.5-3b-instruct:4bit,qwen3:4b,436.90222290723324,297.5647201788187,25.0,0.007936507936507936,0.4365079365079365,否
translation,qwen--qwen2.5-3b-instruct:4bit,qwen3:8b,436.90222290723324,532.2190720459937,4.0,0.09523809523809523,1.0,否
translation,qwen--qwen2.5-3b-instruct:8bit,qwen--qwen2.5-7b-instruct:4bit,694.5230122847081,886.3113660883904,4.0,0.09523809523809523,1.0,否
translation,qwen--qwen2.5-3b-instruct:8bit,qwen3:4b,694.5230122847081,297.5647201788187,25.0,0.007936507936507936,0.4365079365079365,否
translation,qwen--qwen2.5-3b-instruct:8bit,qwen3:8b,694.5230122847081,532.2190720459937,25.0,0.007936507936507936,0.4365079365079365,否
translation,qwen--qwen2.5-7b-instruct:4bit,qwen3:4b,886.3113660883904,297.5647201788187,25.0,0.007936507936507936,0.4365079365079365,否
translation,qwen--qwen2.5-7b-instruct:4bit,qwen3:8b,886.3113660883904,532.2190720459937,25.0,0.007936507936507936,0.4365079365079365,否
translation,qwen3:4b,qwen3:8b,297.5647201788187,532.2190720459937,0.0,0.007936507936507936,0.4365079365079365,否
