model,experiment_id,task_type,throughput_tps,latency_s,latency_per_token_ms,ttft_s,token_count,cpu_percent_avg,cpu_percent_peak,mem_used_avg_mb,mem_used_peak_mb,gpu_util_avg,gpu_util_peak,gpu_mem_avg_mb,gpu_mem_peak_mb,gpu_power_avg_w,gpu_power_peak_w,gpu_energy_j,gpu_temp_avg_c,cpu_energy_j,response_length,avg_response_length,temperature,max_tokens,norm_throughput,norm_latency,norm_energy,norm_gpu_util,efficiency_score,norm_quality,qe_ratio
gemma_4b_ol_q4km,exp_20260303_171216_2801312650912,math,47.36640053716541,4.9824347496032715,21.11201165086132,0.8474099636077881,236,14.345833333333331,25.7,11820.666341145834,11848.41015625,58.583333333333336,84,4030.6171875,4030.6171875,57.974375,82.743,292.94926978492737,69.33333333333333,33.35009293019772,762,762.0,0.0,400,0.6885066607400845,0.9464785113340873,0.8462822966830448,0.6537683972181789,0.8132309067011734,0.2749909779862865,1.4483523464403034
gemma_4b_ol_q4km,exp_20260303_171223_2801312650912,math,45.263437446928336,4.286020040512085,22.092886806763325,0.9614684581756592,194,10.252380952380951,18.7,11848.29724702381,11859.578125,60.04761904761905,82,4030.6171875,4030.6171875,58.635000000000005,82.797,253.72262195611,69.0,20.54298303902149,594,594.0,0.0,320,0.6569166194164705,0.9550372804538262,0.8674410708291259,0.6701092858298099,0.8095101531514738,0.21436304583182966,1.1190743539314492
gemma_4b_ol_q4km,exp_20260303_171229_2801312650912,math,51.34560370684642,6.2517523765563965,19.475864101421795,0.9723985195159912,321,22.316666666666666,41.6,11648.523307291667,11841.390625,67.0,100,4030.6171875,4030.6171875,63.80409999999999,81.944,402.3090498330593,70.7,63.47445584535599,932,932.0,0.0,600,0.7482809825761884,0.930878903274568,0.7872938535002026,0.747695293546822,0.8147642200629064,0.3363406712378203,1.77396106056694
gemma_4b_ol_q4km,exp_20260303_171238_2801312650912,math,48.13131872377006,5.131793737411499,20.776492864014166,0.892465353012085,247,16.812,26.0,11661.30984375,11686.03125,59.36,100,4030.6171875,4030.6171875,58.24576,81.982,307.7080648174286,70.52,39.91801766216755,681,681.0,0.0,320,0.6999970179585274,0.9446429253306315,0.8383214326264534,0.6624357108199903,0.8148881145705364,0.2457596535546734,1.3108358467846137
gemma_4b_ol_q4km,exp_20260303_171245_2801312650912,multi_turn,7.384970842703334,18.144959926605225,135.41014870600915,0.8970410823822021,134,12.257471264367817,24.0,11874.468166307472,12061.83984375,12.367816091954023,94,4030.6171875,4030.6171875,19.443402298850575,81.95,354.4734741605522,64.95402298850574,100.92871241390704,13,49.75,0.2,300,0.004190740774968384,0.9568709745198565,1.0,0.0,0.5887375886659443,0.0,0.02373817300321658
gemma_4b_ol_q4km,exp_20260303_171305_2801312650912,multi_turn,49.62369241020279,11.002808809280396,20.15166448586153,0.8493247032165527,546,13.309615384615388,100.0,11639.017127403846,11690.734375,62.05769230769231,86,4030.6171875,4030.6171875,63.78582692307692,91.233,704.8277365781069,70.07692307692308,62.269315608143806,376,296.3333333333333,0.7,240,0.6828419217131145,0.9996671860877299,0.9090669959657328,0.641065571950691,0.8457570233012845,0.41676234213547647,2.5983597637682987
gemma_4b_ol_q4km,exp_20260303_171319_2801312650912,multi_turn,53.37328147032777,15.51338005065918,18.735966244757464,0.9856293201446533,828,11.423287671232876,31.2,11633.112532106165,11672.92578125,66.47945205479452,100,4030.6171875,4030.6171875,70.12968493150684,82.635,1098.11017937243,72.42465753424658,80.8486903345585,390,395.0,0.7,300,0.7430867148615075,0.9726395640216323,0.8069921597401047,0.6981121608574029,0.8311242030731241,0.43283582089552236,2.475660925086208
gemma_4b_ol_q4km,exp_20260303_171336_2801312650912,multi_turn,44.137107893703764,16.312804222106934,22.656672530704075,3.4193692207336426,720,12.3,27.9,11632.341467126624,11691.6640625,48.883116883116884,82,4032.2016030844156,4032.6171875,58.01776623376625,86.276,958.4681712327001,71.55844155844156,91.44979757308958,431,475.6666666666667,0.7,240,0.594688755062729,0.9678493649049039,0.8432356671029169,0.4710960052507455,0.7812010116274377,0.4799081515499426,2.1412164233532627
gemma_4b_ol_q4km,exp_20260303_171355_2801312650912,multi_turn,56.682519426613254,21.982085704803467,17.64212335859026,0.8739402294158936,1246,11.739805825242717,24.6,11580.240594660194,11657.86328125,69.87378640776699,84,4032.6171875,4032.6171875,73.10633980582526,86.132,1613.181741996169,75.06796116504854,117.09259247839454,795,764.0,0.2,450,0.7962563697112538,0.9338786793529319,0.6733074596916149,0.7419035940244465,0.8006583895978655,0.8978185993111366,4.336541586583115
gemma_4b_ol_q4km,exp_20260303_171419_2801312650912,qa,51.30412382357064,5.847483158111572,19.491610527038574,0.8490924835205078,300,11.082142857142857,18.3,11564.031808035714,11588.00390625,67.07142857142857,95,4032.6171875,4032.6171875,65.3130357142857,84.685,386.4913917572498,74.53571428571429,30.152738589048386,1150,1150.0,0.0,300,0.7951602080247998,0.9206832987624447,0.6437769972316107,0.6376109445801246,0.7874021720081366,0.8011744966442953,3.6441258387927573
